##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	gen_25199_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3428590
Sequences flagged as poor quality	0
Sequence length	150
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.522311795811106	37.0	37.0	37.0	37.0	37.0
2	36.50585750993849	37.0	37.0	37.0	37.0	37.0
3	36.53632659489761	37.0	37.0	37.0	37.0	37.0
4	36.51942810309777	37.0	37.0	37.0	37.0	37.0
5	36.55355000160416	37.0	37.0	37.0	37.0	37.0
6	36.567222094213655	37.0	37.0	37.0	37.0	37.0
7	36.59004022061547	37.0	37.0	37.0	37.0	37.0
8	36.58296034229814	37.0	37.0	37.0	37.0	37.0
9	36.57900361373043	37.0	37.0	37.0	37.0	37.0
10-14	36.58617052490966	37.0	37.0	37.0	37.0	37.0
15-19	36.5734728853552	37.0	37.0	37.0	37.0	37.0
20-24	36.55145322129505	37.0	37.0	37.0	37.0	37.0
25-29	36.50092801997322	37.0	37.0	37.0	37.0	37.0
30-34	36.47712383224591	37.0	37.0	37.0	37.0	37.0
35-39	36.44873653601043	37.0	37.0	37.0	37.0	37.0
40-44	36.423783946170296	37.0	37.0	37.0	37.0	37.0
45-49	36.397676479252404	37.0	37.0	37.0	37.0	37.0
50-54	36.370184536500425	37.0	37.0	37.0	37.0	37.0
55-59	36.336143604222144	37.0	37.0	37.0	37.0	37.0
60-64	36.324119827684264	37.0	37.0	37.0	37.0	37.0
65-69	36.28654385622078	37.0	37.0	37.0	37.0	37.0
70-74	36.264522558836134	37.0	37.0	37.0	37.0	37.0
75-79	36.21653175211968	37.0	37.0	37.0	37.0	37.0
80-84	36.17789155308742	37.0	37.0	37.0	37.0	37.0
85-89	36.13016966158101	37.0	37.0	37.0	37.0	37.0
90-94	36.07500062707994	37.0	37.0	37.0	37.0	37.0
95-99	36.011684103377775	37.0	37.0	37.0	37.0	37.0
100-104	35.99250298227551	37.0	37.0	37.0	37.0	37.0
105-109	35.90708740327656	37.0	37.0	37.0	37.0	37.0
110-114	35.85597058849265	37.0	37.0	37.0	37.0	37.0
115-119	35.79522900084291	37.0	37.0	37.0	37.0	37.0
120-124	35.71621127052229	37.0	37.0	37.0	37.0	37.0
125-129	35.62202188071482	37.0	37.0	37.0	37.0	37.0
130-134	35.56637766545431	37.0	37.0	37.0	37.0	37.0
135-139	35.49820042641436	37.0	37.0	37.0	37.0	37.0
140-144	35.386297165890355	37.0	37.0	37.0	34.6	37.0
145-149	35.208849410399026	37.0	37.0	37.0	25.0	37.0
150	35.0579486027784	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.23237993754401032
1101	2	0.21530511914613726
1101	3	0.25190744225846373
1101	4	0.13630480344770035
1101	5	0.03137900664304283
1101	6	0.09476581991493305
1101	7	0.15193828297234546
1101	8	0.26372948564010557
1101	9	0.2386714293887735
1101	10-14	0.07324776284739443
1101	15-19	-0.015385008976323888
1101	20-24	0.007611102849367057
1101	25-29	-0.031720959612499655
1101	30-34	0.02772349643152694
1101	35-39	-0.10320778208470927
1101	40-44	0.05970816274895441
1101	45-49	0.027612575583802368
1101	50-54	0.04474320263513931
1101	55-59	0.16549938978546663
1101	60-64	0.10746948643317467
1101	65-69	-0.06793698538515969
1101	70-74	0.10135187198972773
1101	75-79	0.06770139759933613
1101	80-84	0.1633222202136011
1101	85-89	-0.023764247030399588
1101	90-94	0.02461075314079153
1101	95-99	0.12583401418716278
1101	100-104	0.05854782502000688
1101	105-109	0.14605210689956039
1101	110-114	0.031087555183908933
1101	115-119	0.07642123778681054
1101	120-124	0.16025887162253838
1101	125-129	0.1830860943391599
1101	130-134	-0.09445020908662372
1101	135-139	0.11158151763449808
1101	140-144	0.3067759928458713
1101	145-149	0.27203821267321615
1101	150	-0.19130133843842145
1102	1	0.18551201790134542
1102	2	-0.11979043645737164
1102	3	0.1626886461799515
1102	4	0.1526970669322978
1102	5	-0.09660867937929396
1102	6	0.18683294260156202
1102	7	0.005321390093882883
1102	8	0.012673950463991446
1102	9	0.1013044052427361
1102	10-14	0.03999139187443035
1102	15-19	0.034046404613647496
1102	20-24	0.01583528629311104
1102	25-29	0.06223353908920615
1102	30-34	-0.043570981698934474
1102	35-39	-0.04115741849150112
1102	40-44	-0.14531381108383812
1102	45-49	-0.2387462416413797
1102	50-54	-0.21377840077133925
1102	55-59	-0.05379874225892678
1102	60-64	-0.12119359824699671
1102	65-69	-0.22453452978237465
1102	70-74	0.007964161512056478
1102	75-79	-0.13822110777723395
1102	80-84	-0.136520258693686
1102	85-89	-0.16448021276416824
1102	90-94	-0.15623496969401174
1102	95-99	-0.33277246359804735
1102	100-104	-0.25427324108850513
1102	105-109	-0.34696733508737054
1102	110-114	-0.30358794417234947
1102	115-119	-0.34141676723372427
1102	120-124	-0.20332138861093796
1102	125-129	-0.4897318069619985
1102	130-134	-0.26597413574940276
1102	135-139	-0.07780630792707655
1102	140-144	-0.1743121254603821
1102	145-149	-0.512626857204296
1102	150	-1.0910560658693882
1103	1	-0.01696732094163167
1103	2	0.09188404794439009
1103	3	0.07663399648893687
1103	4	0.32662305904010935
1103	5	0.15165280524582414
1103	6	-0.014090294685310312
1103	7	-0.06804619236460496
1103	8	0.025792854491989203
1103	9	-5.495147930076882E-4
1103	10-14	0.03631035546612793
1103	15-19	-0.043916516985639475
1103	20-24	-0.10625242124913825
1103	25-29	0.01651840246498182
