##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	gen_25199_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3428590
Sequences flagged as poor quality	0
Sequence length	150
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.57585304746266	37.0	37.0	37.0	37.0	37.0
2	36.54935994096699	37.0	37.0	37.0	37.0	37.0
3	36.548644194843945	37.0	37.0	37.0	37.0	37.0
4	36.53260611505021	37.0	37.0	37.0	37.0	37.0
5	36.5407750708017	37.0	37.0	37.0	37.0	37.0
6	36.55941363650947	37.0	37.0	37.0	37.0	37.0
7	36.546123041833525	37.0	37.0	37.0	37.0	37.0
8	36.54791590712217	37.0	37.0	37.0	37.0	37.0
9	36.53803633563651	37.0	37.0	37.0	37.0	37.0
10-14	36.53490221927965	37.0	37.0	37.0	37.0	37.0
15-19	36.5172386899571	37.0	37.0	37.0	37.0	37.0
20-24	36.499884442292604	37.0	37.0	37.0	37.0	37.0
25-29	36.46361384709166	37.0	37.0	37.0	37.0	37.0
30-34	36.43046640164032	37.0	37.0	37.0	37.0	37.0
35-39	36.39856996607935	37.0	37.0	37.0	37.0	37.0
40-44	36.37608317121616	37.0	37.0	37.0	37.0	37.0
45-49	36.337559754884666	37.0	37.0	37.0	37.0	37.0
50-54	36.29903750521351	37.0	37.0	37.0	37.0	37.0
55-59	36.27336386094576	37.0	37.0	37.0	37.0	37.0
60-64	36.2323497414389	37.0	37.0	37.0	37.0	37.0
65-69	36.18951942343646	37.0	37.0	37.0	37.0	37.0
70-74	36.14294208406371	37.0	37.0	37.0	37.0	37.0
75-79	36.11771795402775	37.0	37.0	37.0	37.0	37.0
80-84	36.05575796464436	37.0	37.0	37.0	37.0	37.0
85-89	35.99416413161096	37.0	37.0	37.0	37.0	37.0
90-94	35.9634170898241	37.0	37.0	37.0	37.0	37.0
95-99	35.91920987927982	37.0	37.0	37.0	37.0	37.0
100-104	35.83180012774931	37.0	37.0	37.0	37.0	37.0
105-109	35.81230599167588	37.0	37.0	37.0	37.0	37.0
110-114	35.69361189293558	37.0	37.0	37.0	37.0	37.0
115-119	35.6262203996395	37.0	37.0	37.0	37.0	37.0
120-124	35.53333294444655	37.0	37.0	37.0	37.0	37.0
125-129	35.449225016697824	37.0	37.0	37.0	37.0	37.0
130-134	35.38397662012664	37.0	37.0	37.0	37.0	37.0
135-139	35.16408692786247	37.0	37.0	37.0	25.0	37.0
140-144	35.033039296037146	37.0	37.0	37.0	25.0	37.0
145-149	34.942018730731874	37.0	37.0	37.0	25.0	37.0
150	34.78789589889721	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.04521821713336038
1101	2	0.1392678773612417
1101	3	-0.07497145134999528
1101	4	0.18170135404400156
1101	5	-0.05628222316698839
1101	6	0.16948425680738666
1101	7	0.004531343313210812
1101	8	-0.029784455100404728
1101	9	0.04899009961634704
1101	10-14	0.07128910357628371
1101	15-19	0.1879304870862839
1101	20-24	0.0827653335643248
1101	25-29	0.1607779156027931
1101	30-34	0.027012953820253927
1101	35-39	0.15582336954668818
1101	40-44	0.17666493008334072
1101	45-49	0.10664790789305556
1101	50-54	0.2437426431618377
1101	55-59	0.14342928564794732
1101	60-64	0.20880928209085425
1101	65-69	0.23289192939640913
1101	70-74	0.24002887977921006
1101	75-79	0.12202780402456881
1101	80-84	0.14242293914233528
1101	85-89	0.11020389224068339
1101	90-94	0.2169233807342721
1101	95-99	0.27040149691463
1101	100-104	0.18626610112750797
1101	105-109	0.3544523953600489
1101	110-114	0.2487454377557441
1101	115-119	0.15777209589402474
1101	120-124	0.28099705492468985
1101	125-129	0.3988146711380267
1101	130-134	0.3106278568334986
1101	135-139	0.39683968072918674
1101	140-144	0.5497257013516759
1101	145-149	0.5082010485052493
1101	150	0.11549527428558548
1102	1	0.1287547454835547
1102	2	0.259458628931057
1102	3	0.22103873357545467
1102	4	3.003513754933351E-4
1102	5	0.08023605719178306
1102	6	-0.04353604830881608
1102	7	0.04561629681212054
1102	8	0.08119958420074624
1102	9	-0.04565202540793223
1102	10-14	0.05464509405308604
1102	15-19	0.02584631759646072
1102	20-24	0.05742961223999998
1102	25-29	0.03398997927295966
1102	30-34	0.0409956480782796
1102	35-39	0.03735887652725722
1102	40-44	0.08905443155426696
1102	45-49	0.18411519888989858
1102	50-54	0.15990689666290336
1102	55-59	-0.05095030422179292
1102	60-64	0.11112750346913458
1102	65-69	-0.0020863844805560916
1102	70-74	0.040387078428409495
1102	75-79	0.11885292684067394
1102	80-84	0.1475297873538679
1102	85-89	-0.046169238544976565
1102	90-94	0.19350380640085518
1102	95-99	0.1922307555585121
1102	100-104	0.2234065538388208
1102	105-109	0.06306714480081865
1102	110-114	-0.07319315059631748
1102	115-119	0.2610742846460141
1102	120-124	0.26962388817531036
1102	125-129	0.1355516109131898
1102	130-134	0.19851311818184314
1102	135-139	0.12001398249357464
1102	140-144	0.36963090098628726
1102	145-149	0.21733223696232784
1102	150	0.47308973299563917
1103	1	0.13984103838803463
1103	2	0.057805736369076044
1103	3	0.057849097658547066
1103	4	0.17142684977471845
1103	5	-0.06381874140846833
1103	6	0.09526225412585632
1103	7	-0.006025427556878071
1103	8	0.08828766401610011
1103	9	0.09377169583397205
1103	10-14	0.03878328182764079
1103	15-19	0.03246086602919007
1103	20-24	0.14044651343871095
1103	25-29	0.1030600410703002
1103	30-34	0.035929755739665836
1103	35-39	0.14217013406578616
1103	40-44	0.10679547838622483
1103	45-49	0.12791387359766304
1103	50-54	0.23509117184718065
1103	55-59	0.12493235529723279
1103	60-64	0.10794978029140623
1103	65-69	0.03720778572270689
1103	70-74	0.1878518986205009
1103	75-79	0.15559777085824322
1103	80-84	0.004868779238307752
1103	85-89	0.23972756735182799
1103	90-94	0.28415081704786616
1103	95-99	0.10217342550118502
1103	100-104	0.04568039793084466
1103	105-109	0.3574190173345073
1103	110-114	0.1184173028323201
1103	115-119	0.24229682950493014
1103	120-124	0.4317443557503182
1103	125-129	0.41974191692166585
1103	130-134	0.49037522822577273
1103	135-139	0.4801450226246118
1103	140-144	0.6995274090646149
1103	145-149	0.4771997077388903
1103	150	0.435966659508928
1104	1	0.09924299353466637
1104	2	0.2556780767946094
1104	3	0.22903943693399498
1104	4	0.3092359354561438
1104	5	0.07761311598083864
1104	6	0.14324960317703272
1104	7	0.006711777733521274
1104	8	0.15798289115813446
1104	9	0.05717020072184198
1104	10-14	0.26699489769882945
1104	15-19	0.10890709949670452
1104	20-24	0.128140590494489
1104	25-29	0.21006406637219044
1104	30-34	0.07748237218589082
1104	35-39	0.12723051359424886
1104	40-44	0.19168909540749723
1104	45-49	0.1482761507684458
1104	50-54	0.21599973998979038
1104	55-59	0.2707805439113784
1104	60-64	0.2227973938624217
1104	65-69	0.21349300711430885
1104	70-74	0.3922509785514947
1104	75-79	0.38858799512506437
1104	80-84	0.1603719419755194
1104	85-89	0.34241876919196557
1104	90-94	0.4143290804176232
1104	95-99	0.34877492061332305
1104	100-104	0.3359966716513725
1104	105-109	0.3228819270527339
1104	110-114	0.3246967737926383
1104	115-119	0.44879481685397593
1104	120-124	0.40146258461748374
1104	125-129	0.617677512091312
1104	130-134	0.5850848314460109
1104	135-139	0.6497367420035616
1104	140-144	0.8188718598984295
1104	145-149	0.7398104035410782
1104	150	0.847496274230032
1105	1	0.16558936736216623
1105	2	-0.10671039266318161
1105	3	-0.0851907163490111
1105	4	0.11391449871398152
