#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	141	956	+	PGH39_00005		right-handed parallel beta-helix repeat-containing protein	SO:0001217, UniRef:UniRef50_UPI000770737C, UniRef:UniRef90_UPI001F2D83D9
contig_1	cds	988	2016	+	PGH39_00010		radical SAM protein	RefSeq:WP_038837815.1, SO:0001217, UniParc:UPI0001E3C4CA, UniRef:UniRef100_A0A4T1DZK5, UniRef:UniRef50_Q5WYD3, UniRef:UniRef90_Q5WYD3
contig_1	cds	2201	2464	+	PGH39_00015		IS3 family transposase	SO:0001217, UniRef:UniRef50_B8KLN7
contig_1	cds	2458	3276	+	PGH39_00020		Transposase and inactivated derivatives	SO:0001217, UniRef:UniRef50_E0XWE6
contig_1	cds	3622	5142	-	PGH39_00025		hypothetical protein	RefSeq:WP_040148105.1, SO:0001217, UniParc:UPI00058EF0DF, UniRef:UniRef100_A0A4Q5N4D2, UniRef:UniRef50_Q5WYC8, UniRef:UniRef90_Q5WYC8
contig_1	cds	5397	6116	+	PGH39_00030	lPG_RS03810	class I SAM-dependent methyltransferase	COG:COG2226, COG:H, RefSeq:WP_038837832.1, SO:0001217, UniParc:UPI0001E3C4CE, UniRef:UniRef100_A0A4T1DZA4, UniRef:UniRef50_Q5WYC9, UniRef:UniRef90_Q5WYC9, VFDB:VFC0258, VFDB:VFG045316
contig_1	cds	6129	7214	+	PGH39_00035	lPG_RS03805	N-acetylneuraminate synthase family protein	COG:COG2089, COG:M, RefSeq:WP_038837834.1, SO:0001217, UniParc:UPI0001E3C4CF, UniRef:UniRef100_A0A4T1FFD2, UniRef:UniRef50_Q5WYD0, UniRef:UniRef90_Q5WYD0, VFDB:VFC0258, VFDB:VFG045315
contig_1	cds	7211	8212	+	PGH39_00040	lPG_RS03800	phosphotransferase	COG:COG2334, COG:T, RefSeq:WP_038837836.1, SO:0001217, UniParc:UPI0001E3C4D0, UniRef:UniRef100_A0A4V4P557, UniRef:UniRef50_Q5WYD1, UniRef:UniRef90_Q5WYD1, VFDB:VFC0258, VFDB:VFG045314
contig_1	cds	8235	9350	+	PGH39_00045	lPG_RS03795	hypothetical protein	RefSeq:WP_229295305.1, SO:0001217, UniParc:UPI0007709958, UniRef:UniRef100_UPI000AE912C3, UniRef:UniRef50_Q5WYD2, UniRef:UniRef90_Q5WYD2, VFDB:VFC0258, VFDB:VFG045313
contig_1	cds	9476	9610	+	PGH39_00050		hypothetical protein	
